pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
299.101		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
325.474		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
343.699		377.0	1065.0	1	421.0	1159.0	1	399	1112	2.6975	1	2.7871	1
360.608		308.0	1068.0	1	330.0	1162.0	1	319	1115	2.7215	1	2.8168	1
376.437		110.0	1053.0	1	183.0	1153.0	1	146	1103	3.1309	1	3.2128	1
393.98		104.0	1052.0	1	179.0	1160.0	1	142	1106	3.1214	1	3.1912	1
410.926		112.0	1047.0	1	166.0	1169.0	1	139	1108	3.1128	1	3.2131	1
426.433		113.0	1053.0	1	161.0	1167.0	1	137	1110	3.1119	1	3.1852	1
443.951		113.0	1054.0	1	175.0	1160.0	1	144	1107	3.1038	1	3.1693	1
460.908		105.0	1048.0	1	188.0	1156.0	1	146	1102	3.1045	1	3.1787	1
476.606		102.0	1045.0	1	188.0	1153.0	1	145	1099	3.1006	1	3.1723	1
494.072		105.0	1040.0	1	197.0	1145.0	1	151	1092	3.1066	1	3.1573	1
511.072		109.0	1042.0	1	211.0	1157.0	1	160	1099	3.1041	1	3.1577	1
526.419		106.0	1039.0	1	202.0	1159.0	1	154	1099	3.1176	1	3.1624	1
544.036		53.0	1051.0	1	140.0	1158.0	1	96	1104	3.1102	1	3.1463	1
561.042		3.0	1059.0	1	-1	-1	0	3.0	1059.0	3.1034	1	-1	0
576.434		12.0	1057.0	1	63.0	1193.0	1	38	1125	3.104	1	3.1814	1
594.135		7.0	1061.0	1	61.0	1196.0	1	34	1128	3.1063	1	3.1751	1
611.411		7.0	1060.0	1	82.0	1254.0	1	44	1157	3.1153	1	3.3747	1
626.514		13.0	1060.0	1	93.0	1259.0	1	53	1159	3.121	1	3.367	1
644.177		8.0	1059.0	1	97.0	1203.0	1	52	1131	3.1138	1	3.2545	1
661.095		10.0	1058.0	1	87.0	1184.0	1	48	1121	3.118	1	3.2399	1
676.443		17.0	1059.0	1	96.0	1187.0	1	56	1123	3.1218	1	3.2435	1
694.238		12.0	1052.0	1	84.0	1208.0	1	48	1130	3.1218	1	3.3123	1
710.729		26.0	1055.0	1	114.0	1264.0	1	70	1159	3.137	1	3.4712	1
726.55		31.0	1056.0	1	111.0	1268.0	1	71	1162	3.1522	1	3.4551	1
744.195		33.0	1049.0	1	83.0	1215.0	1	58	1132	3.1511	1	3.3055	1
760.868		36.0	1049.0	1	112.0	1262.0	1	74	1155	3.1554	1	3.4324	1
776.301		32.0	1049.0	1	104.0	1270.0	1	68	1159	3.1577	1	3.4317	1
794.077		33.0	1050.0	1	116.0	1234.0	1	74	1142	3.1518	1	3.3504	1
810.579		142.0	1046.0	1	297.0	1157.0	1	220	1101	3.1538	1	3.2279	1
826.1		313.0	1029.0	1	501.0	1112.0	1	407	1070	3.1278	1	3.1873	1
843.898		395.0	1045.0	1	556.0	1116.0	1	476	1080	3.1334	1	3.1695	1
860.663		422.0	1050.0	1	584.0	1124.0	1	503	1087	3.1416	1	3.1653	1
876.002		428.0	1049.0	1	587.0	1129.0	1	508	1089	3.1251	1	3.15	1
893.951		428.0	1049.0	1	586.0	1133.0	1	507	1091	3.1347	1	3.1517	1
910.738		433.0	1047.0	1	578.0	1135.0	1	506	1091	3.1325	1	3.1209	1
925.77		432.0	1044.0	1	582.0	1138.0	1	507	1091	3.1349	1	3.1577	1
943.973		431.0	1044.0	1	588.0	1135.0	1	510	1089	3.1235	1	3.143	1
960.881		431.0	1051.0	1	603.0	1136.0	1	517	1093	3.1322	1	3.1588	1
976.027		425.0	1055.0	1	607.0	1150.0	1	516	1102	3.1272	1	3.1708	1
994.333		430.0	1056.0	1	609.0	1149.0	1	520	1102	3.1328	1	3.1635	1
1010.833		429.0	1052.0	1	606.0	1147.0	1	518	1099	3.1352	1	3.1464	1
1025.789		437.0	1051.0	1	586.0	1148.0	1	512	1099	3.1421	1	3.1243	1
1044.184		438.0	1047.0	1	603.0	1148.0	1	520	1097	3.1305	1	3.1399	1
1060.732		428.0	1048.0	1	619.0	1145.0	1	524	1096	3.1077	1	3.1571	1
1075.907		433.0	1049.0	1	623.0	1142.0	1	528	1095	3.1225	1	3.1259	1
1094.14		420.0	1039.0	1	617.0	1145.0	1	518	1092	3.1162	1	3.1159	1
1110.521		344.0	1044.0	1	526.0	1144.0	1	435	1094	3.1086	1	3.1195	1
1125.614		324.0	1036.0	1	479.0	1136.0	1	402	1086	3.1162	1	3.1426	1
1143.937		323.0	1035.0	1	484.0	1132.0	1	404	1083	3.1185	1	3.1555	1
1160.593		321.0	1037.0	1	492.0	1134.0	1	406	1085	3.1233	1	3.1636	1
1175.447		325.0	1044.0	1	495.0	1128.0	1	410	1086	3.1151	1	3.168	1
1194.066		317.0	1038.0	1	492.0	1128.0	1	404	1083	3.1096	1	3.1532	1
1210.276		314.0	1038.0	1	502.0	1129.0	1	408	1083	3.1035	1	3.1557	1
1225.358		317.0	1040.0	1	491.0	1133.0	1	404	1086	3.1182	1	3.1566	1
1243.504		320.0	1040.0	1	500.0	1131.0	1	410	1085	3.1221	1	3.1593	1
1260.463		323.0	1041.0	1	497.0	1130.0	1	410	1085	3.134	1	3.1673	1
1275.527		326.0	1036.0	1	492.0	1123.0	1	409	1079	3.1363	1	3.1741	1
1293.485		209.0	1058.0	1	417.0	1158.0	1	313	1108	3.1176	1	3.1787	1
1309.797		19.0	1084.0	1	-1	-1	0	19.0	1084.0	3.1008	1	-1	0
1325.339		33.0	1078.0	1	156.0	1222.0	1	94	1150	3.1213	1	3.2086	1
1343.184		33.0	1078.0	1	132.0	1232.0	1	82	1155	3.1419	1	3.196	1
1360.262		42.0	1076.0	1	134.0	1216.0	1	88	1146	3.1334	1	3.2031	1
1375.292		49.0	1075.0	1	146.0	1212.0	1	98	1143	3.1391	1	3.2135	1
1392.917		50.0	1078.0	1	160.0	1303.0	1	105	1190	3.1464	1	3.4361	1
1410.003		48.0	1078.0	1	150.0	1216.0	1	99	1147	3.1635	1	3.2446	1
1425.245		46.0	1077.0	1	161.0	1215.0	1	104	1146	3.1683	1	3.2489	1
1443.038		53.0	1077.0	1	164.0	1232.0	1	108	1154	3.1756	1	3.2916	1
1459.644		58.0	1072.0	1	178.0	1316.0	1	118	1194	3.1913	1	3.5155	1
1475.168		63.0	1068.0	1	176.0	1319.0	1	120	1193	3.1967	1	3.4964	1
1492.949		51.0	1068.0	1	142.0	1237.0	1	96	1152	3.1851	1	3.2852	1
1509.587		58.0	1068.0	1	177.0	1229.0	1	118	1148	3.1917	1	3.3087	1
1525.152		61.0	1068.0	1	184.0	1226.0	1	122	1147	3.2121	1	3.3083	1
1543.124		77.0	1071.0	1	163.0	1226.0	1	120	1148	3.2168	1	3.3014	1
1559.414		120.0	1043.0	1	250.0	1173.0	1	185	1108	3.2068	1	3.278	1
1574.816		119.0	1043.0	1	254.0	1181.0	1	186	1112	3.2162	1	3.2574	1
1593.023		123.0	1046.0	1	256.0	1184.0	1	190	1115	3.2151	1	3.2626	1
1609.453		123.0	1046.0	1	232.0	1191.0	1	178	1118	3.2192	1	3.276	1
1624.68		121.0	1039.0	1	237.0	1191.0	1	179	1115	3.23	1	3.2856	1
1642.964		125.0	1036.0	1	256.0	1186.0	1	190	1111	3.2415	1	3.3138	1
1659.437		124.0	1027.0	1	252.0	1209.0	1	188	1118	3.248	1	3.3142	1
1675.059		129.0	1024.0	1	247.0	1206.0	1	188	1115	3.2584	1	3.2912	1
1692.777		118.0	1024.0	1	239.0	1212.0	1	178	1118	3.2616	1	3.3421	1
1709.22		119.0	1031.0	1	243.0	1216.0	1	181	1123	3.2566	1	3.3708	1
1724.67		120.0	1030.0	1	245.0	1225.0	1	182	1127	3.2705	1	3.3732	1
1742.541		126.0	1019.0	1	235.0	1226.0	1	180	1122	3.2959	1	3.3788	1
1759.477		123.0	1017.0	1	229.0	1239.0	1	176	1128	3.2939	1	3.3724	1
1774.686		122.0	1035.0	1	218.0	1237.0	1	170	1136	3.2735	1	3.3502	1
1792.278		-1	-1	0	230.0	1258.0	1	230.0	1258.0	-1	0	3.3558	1
1808.07		-1	-1	0	190.0	1266.0	1	190.0	1266.0	-1	0	3.284	1
1823.382		-1	-1	0	205.0	1316.0	1	205.0	1316.0	-1	0	3.2012	1
1841.68		-1	-1	0	102.0	1348.0	1	102.0	1348.0	-1	0	3.1797	1
1858.114		-1	-1	0	120.0	1397.0	1	120.0	1397.0	-1	0	3.2007	1
1872.537		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1891.736		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1906.88		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1922.772		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1941.321		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1957.374		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1973.132		104.0	1087.0	1	-1	-1	0	104.0	1087.0	2.9596	1	-1	0
1990.863		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2006.413		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2023.566		211.0	1093.0	1	-1	-1	0	211.0	1093.0	3.1028	1	-1	0
2040.742		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2056.649		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2072.756		31.0	1006.0	1	-1	-1	0	31.0	1006.0	3.2126	1	-1	0
2090.921		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2106.912		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2122.773		36.0	973.0	1	-1	-1	0	36.0	973.0	3.2605	1	-1	0
2140.191		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2156.701		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2172.897		52.0	975.0	1	-1	-1	0	52.0	975.0	3.2725	1	-1	0
2190.552		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2206.33		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2222.895		46.0	972.0	1	-1	-1	0	46.0	972.0	3.2952	1	-1	0
2240.791		53.0	980.0	1	-1	-1	0	53.0	980.0	3.3661	1	-1	0
2256.94		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2272.944		61.0	986.0	1	-1	-1	0	61.0	986.0	3.3769	1	-1	0
2290.891		56.0	985.0	1	-1	-1	0	56.0	985.0	3.3956	1	-1	0
2306.491		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2322.884		86.0	948.0	1	-1	-1	0	86.0	948.0	3.4168	1	-1	0
2340.33		83.0	957.0	1	-1	-1	0	83.0	957.0	3.4344	1	-1	0
2356.755		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2372.897		95.0	966.0	1	-1	-1	0	95.0	966.0	3.4665	1	-1	0
2390.05		100.0	965.0	1	-1	-1	0	100.0	965.0	3.4815	1	-1	0
2406.338		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2422.834		101.0	951.0	1	-1	-1	0	101.0	951.0	3.5218	1	-1	0
2440.128		93.0	946.0	1	-1	-1	0	93.0	946.0	3.5222	1	-1	0
2457.124		101.0	946.0	1	-1	-1	0	101.0	946.0	3.5358	1	-1	0
2472.747		111.0	954.0	1	-1	-1	0	111.0	954.0	3.587	1	-1	0
2489.529		104.0	946.0	1	-1	-1	0	104.0	946.0	3.5682	1	-1	0
2507.465		101.0	954.0	1	-1	-1	0	101.0	954.0	3.5771	1	-1	0
2522.757		108.0	943.0	1	-1	-1	0	108.0	943.0	3.5842	1	-1	0
2539.877		110.0	940.0	1	-1	-1	0	110.0	940.0	3.5737	1	-1	0
2557.545		99.0	943.0	1	-1	-1	0	99.0	943.0	3.5634	1	-1	0
2572.661		129.0	956.0	1	-1	-1	0	129.0	956.0	3.5631	1	-1	0
2589.019		112.0	950.0	1	-1	-1	0	112.0	950.0	3.5319	1	-1	0
2606.929		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2622.71		96.0	939.0	1	-1	-1	0	96.0	939.0	3.5027	1	-1	0
2639.923		91.0	943.0	1	-1	-1	0	91.0	943.0	3.5031	1	-1	0
2656.654		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2671.893		95.0	947.0	1	-1	-1	0	95.0	947.0	3.464	1	-1	0
2689.654		95.0	945.0	1	-1	-1	0	95.0	945.0	3.4521	1	-1	0
2706.375		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2722.414		105.0	928.0	1	-1	-1	0	105.0	928.0	3.4113	1	-1	0
2739.767		114.0	925.0	1	-1	-1	0	114.0	925.0	3.399	1	-1	0
2756.087		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2772.267		105.0	953.0	1	-1	-1	0	105.0	953.0	3.3847	1	-1	0
2789.854		110.0	962.0	1	-1	-1	0	110.0	962.0	3.3886	1	-1	0
2806.029		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2822.183		125.0	942.0	1	-1	-1	0	125.0	942.0	3.3604	1	-1	0
2839.411		132.0	944.0	1	-1	-1	0	132.0	944.0	3.3638	1	-1	0
2855.805		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2872.087		144.0	930.0	1	-1	-1	0	144.0	930.0	3.3834	1	-1	0
2888.764		121.0	936.0	1	-1	-1	0	121.0	936.0	3.3415	1	-1	0
2905.362		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2922.031		116.0	958.0	1	-1	-1	0	116.0	958.0	3.3076	1	-1	0
2939.137		87.0	963.0	1	-1	-1	0	87.0	963.0	3.2363	1	-1	0
2955.308		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2971.238		101.0	935.0	1	-1	-1	0	101.0	935.0	3.3487	1	-1	0
2988.51		143.0	931.0	1	-1	-1	0	143.0	931.0	3.4218	1	-1	0
3005.157		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3021.944		112.0	918.0	1	-1	-1	0	112.0	918.0	3.4	1	-1	0
3038.978		117.0	916.0	1	-1	-1	0	117.0	916.0	3.4005	1	-1	0
3055.283		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3071.652		130.0	928.0	1	-1	-1	0	130.0	928.0	3.3884	1	-1	0
3089.028		125.0	929.0	1	-1	-1	0	125.0	929.0	3.3949	1	-1	0
3105.131		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3121.761		109.0	924.0	1	-1	-1	0	109.0	924.0	3.4086	1	-1	0
3138.864		110.0	922.0	1	-1	-1	0	110.0	922.0	3.405	1	-1	0
3154.789		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3171.543		130.0	933.0	1	-1	-1	0	130.0	933.0	3.4061	1	-1	0
3189.052		127.0	937.0	1	-1	-1	0	127.0	937.0	3.3896	1	-1	0
3205.187		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3221.517		110.0	936.0	1	-1	-1	0	110.0	936.0	3.404	1	-1	0
3238.516		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3254.706		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3271.508		121.0	944.0	1	-1	-1	0	121.0	944.0	3.3994	1	-1	0
3289.047		198.0	901.0	1	-1	-1	0	198.0	901.0	3.5604	1	-1	0
3304.867		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3321.33		160.0	926.0	1	-1	-1	0	160.0	926.0	3.3827	1	-1	0
3338.643		169.0	959.0	1	-1	-1	0	169.0	959.0	3.3414	1	-1	0
3354.583		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3371.277		327.0	931.0	1	-1	-1	0	327.0	931.0	3.3927	1	-1	0
3389.164		359.0	889.0	1	-1	-1	0	359.0	889.0	3.4972	1	-1	0
3404.662		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3421.314		345.0	882.0	1	-1	-1	0	345.0	882.0	3.5013	1	-1	0
3438.866		344.0	887.0	1	-1	-1	0	344.0	887.0	3.4982	1	-1	0
3454.463		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3471.255		337.0	954.0	1	-1	-1	0	337.0	954.0	3.166	1	-1	0
3489.272		347.0	959.0	1	-1	-1	0	347.0	959.0	3.2453	1	-1	0
3504.437		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3520.562		348.0	968.0	1	-1	-1	0	348.0	968.0	3.2287	1	-1	0
3539.046		335.0	973.0	1	-1	-1	0	335.0	973.0	3.2197	1	-1	0
3554.652		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3571.172		335.0	1010.0	1	-1	-1	0	335.0	1010.0	3.0406	1	-1	0
3588.797		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3604.529		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3621.131		335.0	976.0	1	-1	-1	0	335.0	976.0	3.1965	1	-1	0
3639.145		345.0	980.0	1	-1	-1	0	345.0	980.0	3.1746	1	-1	0
3654.691		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3670.919		319.0	937.0	1	-1	-1	0	319.0	937.0	3.1913	1	-1	0
3689.232		339.0	945.0	1	-1	-1	0	339.0	945.0	3.2324	1	-1	0
3704.343		357.0	944.0	1	-1	-1	0	357.0	944.0	3.2469	1	-1	0
3720.891		390.0	954.0	1	-1	-1	0	390.0	954.0	3.2363	1	-1	0
3739.264		440.0	961.0	1	-1	-1	0	440.0	961.0	3.2495	1	-1	0
3755.015		482.0	963.0	1	-1	-1	0	482.0	963.0	3.2501	1	-1	0
3770.665		489.0	964.0	1	-1	-1	0	489.0	964.0	3.2402	1	-1	0
3789.109		522.0	961.0	1	-1	-1	0	522.0	961.0	3.2639	1	-1	0
3804.853		517.0	956.0	1	-1	-1	0	517.0	956.0	3.281	1	-1	0
3819.945		506.0	953.0	1	-1	-1	0	506.0	953.0	3.3127	1	-1	0
3838.674		513.0	955.0	1	-1	-1	0	513.0	955.0	3.3107	1	-1	0
3854.632		513.0	961.0	1	-1	-1	0	513.0	961.0	3.3405	1	-1	0
3870.475		498.0	954.0	1	-1	-1	0	498.0	954.0	3.3617	1	-1	0
3889.223		496.0	974.0	1	-1	-1	0	496.0	974.0	3.4051	1	-1	0
3904.656		500.0	978.0	1	-1	-1	0	500.0	978.0	3.4113	1	-1	0
3920.232		490.0	968.0	1	-1	-1	0	490.0	968.0	3.4547	1	-1	0
3938.987		508.0	949.0	1	-1	-1	0	508.0	949.0	3.4216	1	-1	0
3953.887		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3970.126		552.0	936.0	1	-1	-1	0	552.0	936.0	3.2883	1	-1	0
3988.612		548.0	933.0	1	-1	-1	0	548.0	933.0	3.259	1	-1	0
4003.698		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4019.421		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4037.561		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4053.763		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4069.646		129.0	1048.0	1	-1	-1	0	129.0	1048.0	3.2195	1	-1	0
4088.057		125.0	1049.0	1	-1	-1	0	125.0	1049.0	3.3259	1	-1	0
4103.192		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4119.138		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4137.543		73.0	1023.0	1	-1	-1	0	73.0	1023.0	3.3997	1	-1	0
4153.755		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4169.624		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4188.035		106.0	1038.0	1	72.0	1277.0	1	89	1157	3.3943	1	3.4379	1
4204.568		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4219.887		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4237.948		105.0	1022.0	1	186.0	1253.0	1	146	1137	3.3945	1	3.5082	1
4254.514		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4269.897		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4288.111		101.0	1025.0	1	139.0	1242.0	1	120	1133	3.3903	1	3.4658	1
4304.43		150.0	1028.0	1	-1	-1	0	150.0	1028.0	3.3677	1	-1	0
4319.63		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4337.837		111.0	1043.0	1	104.0	1220.0	1	108	1131	3.4144	1	3.4624	1
4354.315		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4369.671		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4387.809		99.0	1026.0	1	160.0	1241.0	1	130	1133	3.3754	1	3.4611	1
4404.017		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4419.538		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4437.545		101.0	1016.0	1	187.0	1199.0	1	144	1107	3.4037	1	3.4989	1
4454.092		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4469.231		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4487.511		97.0	1021.0	1	197.0	1214.0	1	147	1117	3.4356	1	3.5294	1
4504.024		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4519.04		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
4537.514		101.0	1026.0	1	166.0	1184.0	1	134	1105	3.4211	1	3.4906	1
4554.775		148.0	1030.0	1	239.0	1157.0	1	194	1093	3.4087	1	3.3999	1
4569.316		176.0	1030.0	1	-1	-1	0	176.0	1030.0	3.316	1	-1	0
4588.162		180.0	1029.0	1	297.0	1104.0	1	238	1066	3.3121	1	3.3765	1
4604.614		176.0	1035.0	1	-1	-1	0	176.0	1035.0	3.3367	1	-1	0
4619.735		169.0	1040.0	1	224.0	1070.0	1	196	1055	3.353	1	3.272	1
4638.185		168.0	1036.0	1	267.0	1090.0	1	218	1063	3.3721	1	3.3585	1
4654.835		163.0	1031.0	1	262.0	1070.0	1	212	1050	3.375	1	3.3374	1
4669.936		150.0	1032.0	1	270.0	1063.0	1	210	1047	3.3732	1	3.3509	1
4688.058		157.0	1033.0	1	264.0	1051.0	1	210	1042	3.37	1	3.3358	1
4704.7		141.0	1031.0	1	252.0	1053.0	1	196	1042	3.3752	1	3.327	1
4719.687		142.0	1036.0	1	254.0	1045.0	1	198	1040	3.372	1	3.3019	1
4738.171		140.0	1038.0	1	260.0	1047.0	1	200	1042	3.3625	1	3.3236	1
4754.78		132.0	1032.0	1	263.0	1053.0	1	198	1042	3.3506	1	3.3528	1
4769.682		133.0	1032.0	1	272.0	1040.0	1	202	1036	3.3359	1	3.3452	1
4788.132		139.0	1032.0	1	261.0	1027.0	1	200	1029	3.3384	1	3.3283	1
4804.401		136.0	1028.0	1	272.0	1022.0	1	204	1025	3.3242	1	3.3065	1
4819.7		138.0	1034.0	1	271.0	1024.0	1	204	1029	3.3058	1	3.3109	1
4837.868		151.0	1029.0	1	278.0	1022.0	1	214	1025	3.2926	1	3.3159	1
4854.396		247.0	1024.0	1	406.0	997.0	1	326	1010	3.2764	1	3.3171	1
4869.517		265.0	1032.0	1	419.0	990.0	1	342	1011	3.2775	1	3.2981	1
4888.043		277.0	1032.0	1	436.0	984.0	1	356	1008	3.2742	1	3.2802	1
4904.384		272.0	1023.0	1	436.0	986.0	1	354	1004	3.2687	1	3.2798	1
4919.707		264.0	1030.0	1	441.0	1000.0	1	352	1015	3.2665	1	3.2987	1
4938.142		271.0	1030.0	1	439.0	1008.0	1	355	1019	3.276	1	3.2801	1
4954.4		267.0	1029.0	1	446.0	983.0	1	356	1006	3.2661	1	3.2791	1
4969.528		261.0	1020.0	1	435.0	981.0	1	348	1000	3.2553	1	3.2759	1
4987.771		265.0	1019.0	1	427.0	983.0	1	346	1001	3.268	1	3.2527	1
5004.397		274.0	1023.0	1	435.0	982.0	1	354	1002	3.263	1	3.2647	1
5019.397		276.0	1022.0	1	448.0	984.0	1	362	1003	3.2542	1	3.2812	1
5037.892		284.0	1030.0	1	455.0	978.0	1	370	1004	3.2802	1	3.2739	1
5054.138		267.0	1028.0	1	454.0	981.0	1	360	1004	3.2739	1	3.2865	1
5069.182		265.0	1023.0	1	456.0	978.0	1	360	1000	3.2641	1	3.2875	1
5087.88		269.0	1023.0	1	463.0	964.0	1	366	993	3.258	1	3.3084	1
5104.143		267.0	1021.0	1	455.0	981.0	1	361	1001	3.2651	1	3.2995	1
5119.151		266.0	1014.0	1	454.0	978.0	1	360	996	3.2713	1	3.2947	1
5137.439		269.0	1016.0	1	449.0	978.0	1	359	997	3.2767	1	3.2945	1
5153.916		264.0	1019.0	1	454.0	976.0	1	359	997	3.2778	1	3.2976	1
5169.202		272.0	1015.0	1	457.0	971.0	1	364	993	3.2698	1	3.3163	1
5187.252		271.0	1013.0	1	464.0	978.0	1	368	995	3.2729	1	3.3246	1
5203.865		267.0	1016.0	1	463.0	979.0	1	365	997	3.2697	1	3.3365	1
5219.108		405.0	1011.0	1	637.0	955.0	1	521	983	3.274	1	3.34	1
5237.017		459.0	1012.0	1	689.0	948.0	1	574	980	3.2876	1	3.3445	1
5254.021		445.0	1007.0	1	673.0	951.0	1	559	979	3.2655	1	3.3563	1
5268.987		452.0	1009.0	1	673.0	944.0	1	562	976	3.2759	1	3.3576	1
5286.917		460.0	1017.0	1	665.0	943.0	1	562	980	3.2718	1	3.3576	1
5303.781		449.0	1021.0	1	673.0	951.0	1	561	986	3.2742	1	3.378	1
5318.934		449.0	1012.0	1	683.0	943.0	1	566	977	3.2784	1	3.3642	1
5337.045		452.0	1012.0	1	677.0	947.0	1	564	979	3.2783	1	3.3645	1
5353.7		460.0	1011.0	1	687.0	948.0	1	574	979	3.2782	1	3.3713	1
5368.765		458.0	1012.0	1	687.0	948.0	1	572	980	3.2792	1	3.3607	1
5386.944		451.0	1011.0	1	693.0	935.0	1	572	973	3.2815	1	3.3214	1
5403.51		452.0	1011.0	1	688.0	943.0	1	570	977	3.2735	1	3.31	1
5418.65		455.0	1016.0	1	683.0	934.0	1	569	975	3.2766	1	3.307	1
5436.771		455.0	1011.0	1	680.0	945.0	1	568	978	3.2704	1	3.3469	1
5453.615		458.0	1016.0	1	678.0	950.0	1	568	983	3.2639	1	3.3666	1
5468.56		459.0	1022.0	1	684.0	938.0	1	572	980	3.2785	1	3.3474	1
5486.731		459.0	1015.0	1	684.0	950.0	1	572	982	3.2821	1	3.3568	1
5503.327		463.0	1018.0	1	690.0	944.0	1	576	981	3.2854	1	3.3295	1
5518.467		453.0	1015.0	1	691.0	946.0	1	572	980	3.2731	1	3.3351	1
5536.554		456.0	1015.0	1	693.0	945.0	1	574	980	3.2667	1	3.3498	1
5553.167		458.0	1015.0	1	687.0	929.0	1	572	972	3.2654	1	3.3344	1
